sample_name	altitude	anonymized_name	bile_sample	biomass_even	biomass_quartile	climate	collection_substrate	collection_timestamp	scientific_name	taxon_id	host_body_habitat	host_body_product	host_body_site	collection_year	common_name	condition_factor	conservation_status	control	control_2	control_rct	control_cell_into_extraction	control_org	control_type	depth_high_range_m	depth_low_range_m	depth_m	description	diet	diet_reference	dist_to_dorsal_cm	distance_from_shore_m	distance_from_shore_m_log	dna_extracted	dnaplate_column	dnaplate_row	dnaplate_well_id	elevation	empo_1	empo_2	empo_3	env	env0	env_biome	env_feature	env_material	env_package	estimated_biomass_per_dnarxn	estimated_biomass_per_pcrrxn	estimated_cells_per_g	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	extraction_cleanup	extraction_date	extraction_lot	extraction_mass_g	extraction_notes	extraction_notes_gill	extraction_plate_name	fish_collection_method	fl_cm	fmp_number	gamma_include	gape_cm	general_location	geo_loc_name	gi_cm	hab_notes	hab_sum	habitat_act_collection	habitat_be	habitat_cp	habitat_depth_level1	habitat_depth_level2	habitat_drf	habitat_dslp	habitat_is	habitat_kbrf	habitat_mdrf	habitat_ms	habitat_os	habitat_p	habitat_ref	habitat_rit	habitat_rst	habitat_sslp	habitat_sz	host_age	host_age_units	host_body_mass_index	host_common_name	host_common_name_	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	include_st	latitude	log_estimated_cells_per_g	log_total_reads	longitude	mass_g	mass_g_log	max_age	max_kg_grams	max_tl_cm	max_length_cm_LOVE2021	method_gear	month	name	notes	notes_on_dissection	num_order	number_db	ocean_basin	p_class	p_fam_common	p_family	p_genus	p_order	p_genus_species_alternative	pcr_order	ph_cells_per_g	ph_cells_per_g_log	ph_cells_per_mg	ph_extrapolated_cells_per_60ul_total	ph_extrapolated_cells_per_extra_ln	ph_extrapolated_cells_per_pcr_total	ph_log_reads	ph_r1150	ph_reads_per_mg	ph_total_reads	physical_specimen_location	physical_specimen_remaining	prey_1_phytoplankton_algae	prey_2_zooplankton	prey_3_annelids	prey_3_arthropods	prey_3_echinoderms	prey_3_mollusks	prey_3_invertebrate	prey_4_small_fish	prey_5_large_fish	prey_6_shark_marine_mammal	prey_sum	primer_plate	radii	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	reproductive_process	salinity_tolerance	salinity_tolerance_migration	sample_type	sample_type_2	sample_type_descriptive	sample_types	sd_or_la	season	sex	sjbg_gill	sjbg_gill_direction	sjbg_gill_number	sjbg_gill_orientation	sjbg_gill_sample	sjbg_gill_tissue	sjbg_gill_type	sourcesink	substrata_collection	substrata_group	swim_acceleration	swim_endurance	swim_mode	swim_performance	title	title_fmp_core	tl_cm	host_height_vs_max_height_tl	total_reads_AID_49571	trophic	trophic_likely	type_habitat_nonbay_bol	x	y	z
13414.3.midgut	not applicable	3.midgut	TRUE	2	3	deep water	rock associated	2019-08-21	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	honeycomb rockfish	1.7184	not applicable	0	0	0	0.0	0	not applicable	119	30	30	3.midgut	small fish, crabs, shrimp	https://waltermunkfoundation.org/map/honeycomb-rockfish/	8.5	2486	3.395501124	TRUE	1	c	c1	0	Host-associated	Animal	Animal proximal gut	3midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	26209.40125	2184.116771	507934.1327	116	Sebastes umbrosus	clearmag beads KF	2020-09-10	PS16L1	0.0516	not applicable	not applicable	FMP101_P2_mg_1.88	hook and line survey	28.3	3	1	6	LJ kelp	USA:CA:San Diego	32	rock reef, benthic	2	KBRF	0	0	shallow	neritic	0	0	0	0	1	0	1	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.718414599	honeycomb rockfish	honeycomb rockfish	28.6	cm	not collected	Sebastes umbrosus	FMP_3	72105	402	grams	1.0	32.83399	5.705807398	4.101403351	-117.30876	402	2.604226053	not applicable	0.57	29.8	30	rod and reel	8	3.midgut	not applicable	not applicable	387	277	Eastern Pacific	Actinopterygii	rockfish	Sebastidae	Sebastes	Perciformes	Sebastes umbrosus	483	505949	5.704106742	506	26107	3.337575046	2176	4.088525892	1	237616	12261	SIO	not collected	not applicable	not applicable	not applicable	1	not applicable	not applicable	1	1	not applicable	not applicable	3.0	6	not applicable	0.297202797	0.20979021	1.118881119	viviparous	marine	marine	fish midgut digesta	mg	midgut digesta	gill, fin, skin, MG, HG	236	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	1	3	Labriform	generalist	FMP101	1.0	28.6	96	12630	3	3	TRUE	not applicable	not applicable	not applicable
13414.3.skin	not applicable	3.skin	TRUE	1	2	deep water	rock associated	2019-08-21	fish metagenome	496924.0	UBERON:skin	UBERON:mucus	UBERON:skin of body	2019	honeycomb rockfish	1.7184	not applicable	0	0	0	0.0	0	not applicable	119	30	30	3.skin	small fish, crabs, shrimp	https://waltermunkfoundation.org/map/honeycomb-rockfish/	8.5	2486	3.395501124	TRUE	1	c	c1	0	Host-associated	Animal	Animal surface	3skin	skin	marine biome	animal-associated habitat	mucus	host-associated	1051.604276	87.63368968	6078.637434	116	Sebastes umbrosus	clearmag beads KF	2020-09-14	PS16L1	0.173	high	not applicable	FMP101_P3_skin_1.88	hook and line survey	28.3	3	1	6	LJ kelp	USA:CA:San Diego	32	rock reef, benthic	2	KBRF	0	0	shallow	neritic	0	0	0	0	1	0	1	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	1.718414599	honeycomb rockfish	honeycomb rockfish	28.6	cm	not collected	Sebastes umbrosus	FMP_3	72105	402	grams	1.0	32.83399	3.78380624	3.702430536	-117.30876	402	2.604226053	not applicable	0.57	29.8	30	rod and reel	8	3.skin	not applicable	not applicable	483	277	Eastern Pacific	Actinopterygii	rockfish	Sebastidae	Sebastes	Perciformes	Sebastes umbrosus	579	6049	3.781683585	6	1047	1.94058106	87	3.689042339	1	28249	4887	SIO	not collected	not applicable	not applicable	not applicable	1	not applicable	not applicable	1	1	not applicable	not applicable	3.0	7	not applicable	0.297202797	0.20979021	1.118881119	viviparous	marine	marine	fish skin	s	skin swab	gill, fin, skin, MG, HG	236	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	1	3	Labriform	generalist	FMP101	1.0	28.6	96	5040	3	3	TRUE	not applicable	not applicable	not applicable
13414.30.gill	not applicable	30.gill	FALSE	2	3	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:respiratory system	UBERON:mucus	UBERON:gill	2019	california kingcroaker corbina	0.7568	DD	0	0	0	0.0	0	not applicable	14	0	1	30.gill	sand crabs, crustaceans, worms	fishbase.org	7.2	103	2.012837225	TRUE	4	f	f4	0	Host-associated	Animal	Animal corpus	30gill	gill	marine biome	animal-associated habitat	organic material	host-associated	191599.867	15966.65558	450823.2164	116	Menticirrhus undulatus	clearmag beads KF	2020-09-14	PS16L1	0.425	not applicable	WG	FMP101_P4_gill_1.88	spear	28	30	1	1.5	carlsbad dip-in-road	USA:CA:San Diego	21.3	not applicable	2	SZ	0	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	1	not collected	not collected	0.756832062	california kingcroaker 'corbina'	california corbina	28.5	cm	not collected	Menticirrhus undulatus	FMP_30	320396	175.2	grams	1.0	33.113536	5.654006273	4.348207477	-117.325634	175.2	2.243534102	8	3.9	71	86.3	spear	8	30.gill	not applicable	not applicable	606	348	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Menticirrhus	Perciformes	Menticirrhus undulatus	702	448993	5.65223957	449	190822	4.201446984	15902	4.335558188	1	50953	21655	SIO	not collected	not applicable	not applicable	not applicable	1	1	not applicable	not applicable	not applicable	not applicable	not applicable	2.0	8	not applicable	0.252631579	0.052631579	0.747368421	oviparous	marine	marine	fish gill	g	gill tissue	gill, fin, skin, MG, HG	307	summer	M	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	2	2	Subcarangiform	generalist	FMP101	1.0	28.5	40	22295	2	2	TRUE	not applicable	not applicable	not applicable
13414.30.hg	not applicable	30.hg	FALSE	2	3	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	california kingcroaker corbina	0.7568	DD	0	0	0	0.0	0	not applicable	14	0	1	30.hg	sand crabs, crustaceans, worms	fishbase.org	7.2	103	2.012837225	TRUE	4	f	f4	0	Host-associated	Animal	Animal distal gut	30hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	7108.560176	592.3800147	134123.7769	116	Menticirrhus undulatus	clearmag beads KF	2020-09-10	PS16L1	0.053	not applicable	not applicable	FMP101_P1_hg_1.88	spear	28	30	1	1.5	carlsbad dip-in-road	USA:CA:San Diego	21.3	not applicable	2	SZ	0	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	1	not collected	not collected	0.756832062	california kingcroaker 'corbina'	california corbina	28.5	cm	not collected	Menticirrhus undulatus	FMP_30	320396	175.2	grams	1.0	33.113536	5.127505775	3.939519253	-117.325634	175.2	2.243534102	8	3.9	71	86.3	spear	8	30.hg	not applicable	not applicable	318	348	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Menticirrhus	Perciformes	Menticirrhus undulatus	414	128595	5.109224083	129	6816	2.754319477	568	3.921738484	1	157566	8351	SIO	not collected	not applicable	not applicable	not applicable	1	1	not applicable	not applicable	not applicable	not applicable	not applicable	2.0	5	not applicable	0.252631579	0.052631579	0.747368421	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	gill, fin, skin, MG, HG	307	summer	M	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	2	2	Subcarangiform	generalist	FMP101	1.0	28.5	40	8700	2	2	TRUE	not applicable	not applicable	not applicable
13414.30.midgut	not applicable	30.midgut	FALSE	1	2	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	california kingcroaker corbina	0.7568	DD	0	0	0	0.0	0	not applicable	14	0	1	30.midgut	sand crabs, crustaceans, worms	fishbase.org	7.2	103	2.012837225	TRUE	4	f	f4	0	Host-associated	Animal	Animal proximal gut	30midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	453.6918396	37.8076533	9073.836793	116	Menticirrhus undulatus	clearmag beads KF	2020-09-10	PS16L1	0.05	not applicable	not applicable	FMP101_P2_mg_1.88	spear	28	30	1	1.5	carlsbad dip-in-road	USA:CA:San Diego	21.3	not applicable	2	SZ	0	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	1	not collected	not collected	0.756832062	california kingcroaker 'corbina'	california corbina	28.5	cm	not collected	Menticirrhus undulatus	FMP_30	320396	175.2	grams	1.0	33.113536	3.957790964	3.598133646	-117.325634	175.2	2.243534102	8	3.9	71	86.3	spear	8	30.midgut	not applicable	not applicable	414	348	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Menticirrhus	Perciformes	Menticirrhus undulatus	510	9231	3.965248751	9	462	1.58504748	38	3.587374172	1	77340	3867	SIO	not collected	not applicable	not applicable	not applicable	1	1	not applicable	not applicable	not applicable	not applicable	not applicable	2.0	6	not applicable	0.252631579	0.052631579	0.747368421	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	gill, fin, skin, MG, HG	307	summer	M	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	2	2	Subcarangiform	generalist	FMP101	1.0	28.5	40	3964	2	2	TRUE	not applicable	not applicable	not applicable
13414.30.skin	not applicable	30.skin	FALSE	2	3	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:skin	UBERON:mucus	UBERON:skin of body	2019	california kingcroaker corbina	0.7568	DD	0	0	0	0.0	0	not applicable	14	0	1	30.skin	sand crabs, crustaceans, worms	fishbase.org	7.2	103	2.012837225	TRUE	4	f	f4	0	Host-associated	Animal	Animal surface	30skin	skin	marine biome	animal-associated habitat	mucus	host-associated	16333.58077	1361.13173	108890.5384	116	Menticirrhus undulatus	clearmag beads KF	2020-09-14	PS16L1	0.15	high	not applicable	FMP101_P3_skin_1.88	spear	28	30	1	1.5	carlsbad dip-in-road	USA:CA:San Diego	21.3	not applicable	2	SZ	0	0	shallow	neritic	0	0	1	0	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	1	not collected	not collected	0.756832062	california kingcroaker 'corbina'	california corbina	28.5	cm	not collected	Menticirrhus undulatus	FMP_30	320396	175.2	grams	1.0	33.113536	5.036990145	4.04273298	-117.325634	175.2	2.243534102	8	3.9	71	86.3	spear	8	30.skin	not applicable	not applicable	510	348	Eastern Pacific	Actinopterygii	drums or croakers	Sciaenidae	Menticirrhus	Perciformes	Menticirrhus undulatus	606	108211	5.03427141	108	16232	3.131180822	1353	4.029505525	1	71353	10703	SIO	not collected	not applicable	not applicable	not applicable	1	1	not applicable	not applicable	not applicable	not applicable	not applicable	2.0	7	not applicable	0.252631579	0.052631579	0.747368421	oviparous	marine	marine	fish skin	s	skin swab	gill, fin, skin, MG, HG	307	summer	M	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	2	2	Subcarangiform	generalist	FMP101	1.0	28.5	40	11034	2	2	TRUE	not applicable	not applicable	not applicable
13414.31.gill	not applicable	31.gill	FALSE MG and HG only	1	1	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:respiratory system	UBERON:mucus	UBERON:gill	2019	bat ray	0.4641	LC	0	0	0	0.0	0	not applicable	108	0	1	31.gill	bivalves, snails, polychaetes, shrimps, crabs	fishbase.org	39.3	103	2.012837225	TRUE	4	g	g4	0	Host-associated	Animal	Animal corpus	31gill	gill	marine biome	animal-associated habitat	organic material	host-associated	115.8636335	9.655302788	213.3768572	465	Myliobatis australis	clearmag beads KF	2020-09-14	PS16L1	0.543	not applicable	PG	FMP101_P4_gill_1.88	spear	85	31	1	not collected	carlsbad dip-in-road	USA:CA:San Diego	not collected	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.464074903	bat ray	bat ray	85	cm	not collected	Myliobatis californica	FMP_31	319543	2850	grams	1.0	33.113536	2.329147314	3.428782511	-117.325634	2850	3.45484486	not applicable	82.1	180	180	spear	8	31.gill	not applicable	not applicable	607	327	Eastern Pacific	Chondrichthyes	eagle and manta rays	Myliobatidae	Myliobatis	Myliobatiformes	Myliobatis californica	703	221	2.344392274	0	120	1.000162606	10	3.420120848	1	4845	2631	SIO	not collected	not applicable	not applicable	1	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	3.0	8	not applicable	0.462352941	not applicable	not applicable	ovoviviparous	brackish	brackish	fish gill	g	gill tissue	gill, fin, skin, MG, HG	286	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	1	3	Mobuliform	flow refuging	FMP101	1.0	85	47	2684	2	2	TRUE	not applicable	not applicable	not applicable
13414.31.hg	not applicable	31.hg	FALSE MG and HG only	1	1	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	bat ray	0.4641	LC	0	0	0	0.0	0	not applicable	108	0	1	31.hg	bivalves, snails, polychaetes, shrimps, crabs	fishbase.org	39.3	103	2.012837225	TRUE	4	g	g4	0	Host-associated	Animal	Animal distal gut	31hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	27.73329351	2.311107792	185.382978	465	Myliobatis australis	clearmag beads KF	2020-09-10	PS16L1	0.1496	not applicable	not applicable	FMP101_P1_hg_1.88	spear	85	31	1	not collected	carlsbad dip-in-road	USA:CA:San Diego	not collected	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.464074903	bat ray	bat ray	85	cm	not collected	Myliobatis californica	FMP_31	319543	2850	grams	1.0	33.113536	2.268069854	3.25139485	-117.325634	2850	3.45484486	not applicable	82.1	180	180	spear	8	31.hg	not applicable	not applicable	319	327	Eastern Pacific	Chondrichthyes	eagle and manta rays	Myliobatidae	Myliobatis	Myliobatiformes	Myliobatis californica	415	190	2.278753601	0	28	0.373945383	2	3.241048151	1	11644	1742	SIO	not collected	not applicable	not applicable	1	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	3.0	5	not applicable	0.462352941	not applicable	not applicable	ovoviviparous	brackish	brackish	fish hindgut digesta	hg	hindgut digesta	gill, fin, skin, MG, HG	286	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	1	3	Mobuliform	flow refuging	FMP101	1.0	85	47	1784	2	2	TRUE	not applicable	not applicable	not applicable
13414.31.midgut	not applicable	31.midgut	FALSE MG and HG only	2	3	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	bat ray	0.4641	LC	0	0	0	0.0	0	not applicable	108	0	1	31.midgut	bivalves, snails, polychaetes, shrimps, crabs	fishbase.org	39.3	103	2.012837225	TRUE	4	g	g4	0	Host-associated	Animal	Animal proximal gut	31midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	14696.18958	1224.682465	61593.41818	465	Myliobatis australis	clearmag beads KF	2020-09-10	PS16L1	0.2386	not applicable	not applicable	FMP101_P2_mg_1.88	spear	85	31	1	not collected	carlsbad dip-in-road	USA:CA:San Diego	not collected	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.464074903	bat ray	bat ray	85	cm	not collected	Myliobatis californica	FMP_31	319543	2850	grams	1.0	33.113536	4.789534306	4.029627239	-117.325634	2850	3.45484486	not applicable	82.1	180	180	spear	8	31.midgut	not applicable	not applicable	415	327	Eastern Pacific	Chondrichthyes	eagle and manta rays	Myliobatidae	Myliobatis	Myliobatiformes	Myliobatis californica	511	63453	4.80245216	63	15140	3.100941412	1262	4.020858282	1	43973	10492	SIO	not collected	not applicable	not applicable	1	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	3.0	6	not applicable	0.462352941	not applicable	not applicable	ovoviviparous	brackish	brackish	fish midgut digesta	mg	midgut digesta	gill, fin, skin, MG, HG	286	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	1	3	Mobuliform	flow refuging	FMP101	1.0	85	47	10706	2	2	TRUE	not applicable	not applicable	not applicable
13414.31.skin	not applicable	31.skin	FALSE MG and HG only	2	3	subtropical	rock associated	2019-08-04	fish metagenome	496924.0	UBERON:skin	UBERON:mucus	UBERON:skin of body	2019	bat ray	0.4641	LC	0	0	0	0.0	0	not applicable	108	0	1	31.skin	bivalves, snails, polychaetes, shrimps, crabs	fishbase.org	39.3	103	2.012837225	TRUE	4	g	g4	0	Host-associated	Animal	Animal surface	31skin	skin	marine biome	animal-associated habitat	mucus	host-associated	10768.63847	897.3865388	134607.9808	465	Myliobatis australis	clearmag beads KF	2020-09-14	PS16L1	0.08	high	not applicable	FMP101_P3_skin_1.88	spear	85	31	1	not collected	carlsbad dip-in-road	USA:CA:San Diego	not collected	not applicable	2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.464074903	bat ray	bat ray	85	cm	not collected	Myliobatis californica	FMP_31	319543	2850	grams	1.0	33.113536	5.12907081	3.991048776	-117.325634	2850	3.45484486	not applicable	82.1	180	180	spear	8	31.skin	not applicable	not applicable	511	327	Eastern Pacific	Chondrichthyes	eagle and manta rays	Myliobatidae	Myliobatis	Myliobatiformes	Myliobatis californica	607	136645	5.135593745	137	10932	2.959502378	911	3.980412462	1	119488	9559	SIO	not collected	not applicable	not applicable	1	1	not applicable	1	not applicable	not applicable	not applicable	not applicable	3.0	7	not applicable	0.462352941	not applicable	not applicable	ovoviviparous	brackish	brackish	fish skin	s	skin swab	gill, fin, skin, MG, HG	286	summer	Unknown	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	soft bottom	1	3	Mobuliform	flow refuging	FMP101	1.0	85	47	9796	2	2	TRUE	not applicable	not applicable	not applicable
13414.32.gill	not applicable	32.gill	TRUE	2	3	subtropical	rock associated	2019-10-28	fish metagenome	496924.0	UBERON:respiratory system	UBERON:mucus	UBERON:gill	2019	horn shark	0.8407	DD	0	0	0	0.0	0	not applicable	150	2	4	32.gill	benthic invertebrates, sea urchins, crabs, abalone, fish	fishbase.org	19.5	5	0.698970004	TRUE	4	h	h4	0	Host-associated	Animal	Animal corpus	32gill	gill	marine biome	animal-associated habitat	organic material	host-associated	211037.6138	17586.46782	859273.6718	465	Heterodontus francisci	columns	2020-12-26	PS16L1	0.2456	not applicable	PG	FMP101_P4_gill_1.88	spear	60.3	32	0	not collected	mission jetty	USA:CA:San Diego	not collected	not applicable	2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.840736595	horn shark	horn shark	64.5	cm	not collected	Heterodontus francisci	FMP_32	7792	2256	grams	1.0	32.75757	5.934131505	4.360195665	-117.249448	2256	3.353339095	12	not applicable	122	121	spear	10	32.gill	not applicable	not applicable	608	303	Eastern Pacific	Chondrichthyes	bullhead, horn, or port jackson sharks	Heterodontidae	Heterodontus	Heterodontiformes	Heterodontus francisci	704	947452	5.976557217	947	232694	4.287604239	19391	4.360195665	1	93318	22919	SIO	not collected	not applicable	not applicable	not applicable	1	1	1	not applicable	1	not applicable	not applicable	4.0	8	not applicable	0.302325581	not applicable	not applicable	oviparous	marine	marine	fish gill	g	gill tissue	gill, fin, skin, MG, HG	262	fall	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	3	Carcharhiniform	crusier sprinter	FMP101	1.0	64.5	53	22919	3	3	TRUE	not applicable	not applicable	not applicable
13414.32.hg	not applicable	32.hg	TRUE	1	1	subtropical	rock associated	2019-10-28	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	horn shark	0.8407	DD	0	0	0	0.0	0	not applicable	150	2	4	32.hg	benthic invertebrates, sea urchins, crabs, abalone, fish	fishbase.org	19.5	5	0.698970004	TRUE	4	h	h4	0	Host-associated	Animal	Animal distal gut	32hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	24.80365124	2.066970936	126.2272328	465	Heterodontus francisci	columns	2020-12-26	PS16L1	0.1965	not applicable	not applicable	FMP101_P1_hg_1.88	spear	60.3	32	0	not collected	mission jetty	USA:CA:San Diego	not collected	not applicable	2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.840736595	horn shark	horn shark	64.5	cm	not collected	Heterodontus francisci	FMP_32	7792	2256	grams	1.0	32.75757	2.101153061	3.237543738	-117.249448	2256	3.353339095	12	not applicable	122	121	spear	10	32.hg	not applicable	not applicable	320	303	Eastern Pacific	Chondrichthyes	bullhead, horn, or port jackson sharks	Heterodontidae	Heterodontus	Heterodontiformes	Heterodontus francisci	416	136	2.133538908	0	27	0.34756265	2	3.23350376	1	8712	1712	SIO	not collected	not applicable	not applicable	not applicable	1	1	1	not applicable	1	not applicable	not applicable	4.0	5	not applicable	0.302325581	not applicable	not applicable	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	gill, fin, skin, MG, HG	262	fall	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	3	Carcharhiniform	crusier sprinter	FMP101	1.0	64.5	53	1728	3	3	TRUE	not applicable	not applicable	not applicable
13414.32.midgut	not applicable	32.midgut	TRUE	1	2	subtropical	rock associated	2019-10-28	fish metagenome	496924.0	UBERON:gastrointestinal system	UBERON:feces	UBERON:digestive tract	2019	horn shark	0.8407	DD	0	0	0	0.0	0	not applicable	150	2	4	32.midgut	benthic invertebrates, sea urchins, crabs, abalone, fish	fishbase.org	19.5	5	0.698970004	TRUE	4	h	h4	0	Host-associated	Animal	Animal proximal gut	32midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	511.8656859	42.65547383	9603.483788	465	Heterodontus francisci	clearmag beads KF	2020-09-10	PS16L1	0.0533	not applicable	not applicable	FMP101_P2_mg_1.88	spear	60.3	32	0	not collected	mission jetty	USA:CA:San Diego	not collected	not applicable	2	BE	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	not collected	not collected	0.840736595	horn shark	horn shark	64.5	cm	not collected	Heterodontus francisci	FMP_32	7792	2256	grams	1.0	32.75757	3.982428808	3.613101517	-117.249448	2256	3.353339095	12	not applicable	122	121	spear	10	32.midgut	not applicable	not applicable	416	303	Eastern Pacific	Chondrichthyes	bullhead, horn, or port jackson sharks	Heterodontidae	Heterodontus	Heterodontiformes	Heterodontus francisci	512	9935	3.997167871	10	530	1.644733906	44	3.604442066	1	75460	4022	SIO	not collected	not applicable	not applicable	not applicable	1	1	1	not applicable	1	not applicable	not applicable	4.0	6	not applicable	0.302325581	not applicable	not applicable	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	gill, fin, skin, MG, HG	262	fall	F	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	sink	rocky reef	rock associated	2	3	Carcharhiniform	crusier sprinter	FMP101	1.0	64.5	53	4103	3	3	TRUE	not applicable	not applicable	not applicable
